Team,SourceofIOC,NameofAnalyst,Month,DateofInput,ThreatActor,SuspectedAttribution,Type,IntentofThreatActor,IOCDetails,DerivedIOC,DerivedType,ViolationIP,VT_Detection,AbuseIpDB,TPI,Country,NameofOrganistion,UsageType,FirstSeen,Violation_Date,LastSeen,DetectBetweenFirstLastSeen,CII,Sectors,ConnectionType,ViolationPort,Status,OriginalPulseName,Tag,Aliases,IOCType,Remarks,test
TA,ALIENVAULT,FK,February,2021-02-03,Team TNT,Unknown,Campaign,Cyber Espionage,123.245.9.147,NA,Main,123.245.9.147,2,0,No,China,ChinaNet Liaoning Province Network,ISP/MOB,NA,NA,NA,NA,NA,NA,NA,NA,NA,Team TNT,NA,NA,IP,https://otx.alienvault.com/pulse/601ad65bb1f0c3f6116d20ab,NA
TA,ALIENVAULT,FK,February,2021-02-03,Team TNT,Unknown,Campaign,Cyber Espionage,sampwn.anondns.net,13.245.9.147,Derived,13.245.9.147,0,0,No,South Africa,Amazon Data Services South Africa,DCH,03-02-2021,NA,03-02-2021,NA,NA,NA,NA,NA,NA,Team TNT,NA,NA,Domain,https://otx.alienvault.com/pulse/601ad65bb1f0c3f6116d20ab,NA
TA,ALIENVAULT,FK,February,2021-02-03,Team TNT,Unknown,Campaign,Cyber Espionage,147.75.47.199,NA,Main,147.75.47.199,3,0,Yes,Netherlands,Packet Host Inc.,DCH,NA,17-12-2020,NA,NA,ISRO_GOV_DoS_SBC_FW_CARTSI_FG02,NA,Outbound_permitted,443,Valid,Team TNT,NA,NA,IP,https://otx.alienvault.com/pulse/601ad65bb1f0c3f6116d20ab,NA
TA,ALIENVAULT,FK,February,2021-02-03,Team TNT,Unknown,Campaign,Cyber Espionage,e10e607751f00516c86b35a6a3b76517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Team TNT,NA,NA,MD5,https://otx.alienvault.com/pulse/601ad65bb1f0c3f6116d20ab,NA
TA,ALIENVAULT,FK,February,2021-02-03,Team TNT,Unknown,Campaign,Cyber Espionage,12c5c5d556394aa107a433144c185a686aba3bb44389b7241d84bea766e2aea3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Team TNT,NA,NA,SHA256,https://otx.alienvault.com/pulse/601ad65bb1f0c3f6116d20ab,NA
TA,ALIENVAULT,FK,February,2021-02-03,Team TNT,Unknown,Campaign,Cyber Espionage,841e188fb08de785a7cd43cb9ce3550ba84c21ef,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Team TNT,NA,NA,SHA1,https://otx.alienvault.com/pulse/601ad65bb1f0c3f6116d20ab,NA
TA,ALIENVAULT,FK,February,2021-02-03,Team TNT,Unknown,Campaign,Cyber Espionage,164.68.106.96,NA,Main,164.68.106.96,4,100,Yes,Germany,Contabo GmbH,DCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,Team TNT,NA,NA,IP,https://otx.alienvault.com/pulse/601ad65bb1f0c3f6116d20ab,NA
TA,ALIENVAULT,FK,February,2021-02-03,Team TNT,Unknown,Campaign,Cyber Espionage,e10e607751f00516c86b35a6a3b76517,17.249.25.246,Derived,17.249.25.246,1,0,No,United States of America,Apple Inc.,COM,NA,NA,NA,NA,NA,NA,NA,NA,NA,Team TNT,NA,NA,MD5,https://otx.alienvault.com/pulse/601ad65bb1f0c3f6116d20ab,NA
TA,ALIENVAULT,FK,February,2021-02-03,Team TNT,Unknown,Campaign,Cyber Espionage,12c5c5d556394aa107a433144c185a686aba3bb44389b7241d84bea766e2aea3,17.249.25.246,Derived,17.249.25.246,1,0,No,United States of America,Apple Inc.,COM,NA,NA,NA,NA,NA,NA,NA,NA,NA,Team TNT,NA,NA,SHA256,https://otx.alienvault.com/pulse/601ad65bb1f0c3f6116d20ab,NA
TA,ALIENVAULT,FK,February,2021-02-03,Team TNT,Unknown,Campaign,Cyber Espionage,841e188fb08de785a7cd43cb9ce3550ba84c21ef,17.249.25.246,Derived,17.249.25.246,1,0,No,United States of America,Apple Inc.,COM,NA,NA,NA,NA,NA,NA,NA,NA,NA,Team TNT,NA,NA,SHA1,https://otx.alienvault.com/pulse/601ad65bb1f0c3f6116d20ab,NA
TA,ALIENVAULT,FK,February,2021-02-03,Team TNT,Unknown,Campaign,Cyber Espionage,teamtnt.red,45.9.148.108,Derived,45.9.148.108,3,0,Yes,Netherlands,Nice IT Customers Network,COM,26-02-2020,NA,03-02-2021,NA,NA,NA,NA,NA,NA,Team TNT,NA,NA,Domain,https://otx.alienvault.com/pulse/601ad65bb1f0c3f6116d20ab,NA
TA,ALIENVAULT,FK,February,2021-02-03,Team TNT,Unknown,Campaign,Cyber Espionage,borg.wtf,45.9.148.108,Derived,45.9.148.108,3,0,Yes,Netherlands,Nice IT Customers Network,COM,24-12-2020,NA,03-02-2021,NA,NA,NA,NA,NA,NA,Team TNT,NA,NA,Domain,https://otx.alienvault.com/pulse/601ad65bb1f0c3f6116d20ab,NA
TA,ALIENVAULT,FK,February,2021-02-03,Team TNT,Unknown,Campaign,Cyber Espionage,45.9.148.108,NA,Main,45.9.148.108,3,0,Yes,Netherlands,Nice IT Customers Network,COM,NA,16-12-2020,NA,NA,HR_GOV_SDC_CDG_H3C_FW01,NA,Outbound_permitted,54771,Valid,Team TNT,NA,NA,IP,https://otx.alienvault.com/pulse/601ad65bb1f0c3f6116d20ab,NA
TA,ALIENVAULT,FK,February,2021-02-03,Team TNT,Unknown,Campaign,Cyber Espionage,e10e607751f00516c86b35a6a3b76517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Team TNT,NA,NA,MD5,https://otx.alienvault.com/pulse/601ad65bb1f0c3f6116d20ab,NA
TA,ALIENVAULT,FK,February,2021-02-03,Team TNT,Unknown,Campaign,Cyber Espionage,e10e607751f00516c86b35a6a3b76517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Team TNT,NA,NA,MD5,https://otx.alienvault.com/pulse/601ad65bb1f0c3f6116d20ab,NA
